"project","article","timestamp","access","agent","views"
"en.wikipedia","Hillary_Clinton","2016072500","all-access","user",68172
"en.wikipedia","Hillary_Clinton","2016072600","all-access","user",135984
"en.wikipedia","Hillary_Clinton","2016072700","all-access","user",335337
"en.wikipedia","Hillary_Clinton","2016072800","all-access","user",199473
"en.wikipedia","Hillary_Clinton","2016072900","all-access","user",453311
"en.wikipedia","Hillary_Clinton","2016073000","all-access","user",116140
"en.wikipedia","Hillary_Clinton","2016073100","all-access","user",77915
"en.wikipedia","Hillary_Clinton","2016080100","all-access","user",64817
"en.wikipedia","Hillary_Clinton","2016080200","all-access","user",54351
"en.wikipedia","Hillary_Clinton","2016080300","all-access","user",44678
"en.wikipedia","Hillary_Clinton","2016080400","all-access","user",42480
"en.wikipedia","Hillary_Clinton","2016080500","all-access","user",40447
"en.wikipedia","Hillary_Clinton","2016080600","all-access","user",30852
"en.wikipedia","Hillary_Clinton","2016080700","all-access","user",30014
"en.wikipedia","Hillary_Clinton","2016080800","all-access","user",30588
"en.wikipedia","Hillary_Clinton","2016080900","all-access","user",29711
"en.wikipedia","Hillary_Clinton","2016081000","all-access","user",31805
"en.wikipedia","Hillary_Clinton","2016081100","all-access","user",32013
"en.wikipedia","Hillary_Clinton","2016081200","all-access","user",28000
"en.wikipedia","Hillary_Clinton","2016081300","all-access","user",23428
"en.wikipedia","Hillary_Clinton","2016081400","all-access","user",21088
"en.wikipedia","Hillary_Clinton","2016081500","all-access","user",25052
"en.wikipedia","Hillary_Clinton","2016081600","all-access","user",24251
